metric,value
"generated_at","2026-07-10T04:41:25.923873+00:00"
"window_days","7"
"phase_b_unlock_ready","False"
"product_ui_locked","True"
"count.home.viewed","0"
"count.interaction.bookmark","0"
"count.interaction.click","6"
"count.interaction.repeated_view","5"
"count.interaction.results_tab_click","0"
"count.interaction.revisit","1"
"count.kpi.time_to_first_result","0"
"count.onboarding.completed","0"
"count.onboarding.viewed","0"
"rate.bookmark_given_home_viewed",""
"rate.bookmark_given_onboarding_completed",""
"rate.evidence_tab_given_tab_clicks",""
"rate.onboarding_completion",""
"rate.revisit_given_onboarding_completed",""
"avg_time_to_first_result_ms",""
"evidence_tab_clicks","0"
"overview_tab_clicks","0"
"excluded_success_metric","interaction.comparison"
"excluded_success_metric","interaction.drawer_open"
